term,week_start,value
black t-shirt,2020-08-24,86.0
black t-shirt,2020-08-31,88.0
black t-shirt,2020-09-07,79.0
black t-shirt,2020-09-14,84.0
black t-shirt,2020-09-21,71.0
black t-shirt,2020-09-28,72.0
blue dress,2018-08-27,67.0
blue dress,2018-09-03,66.0
blue dress,2018-09-10,64.0
blue dress,2018-09-17,67.0
blue dress,2018-09-24,68.0
blue dress,2018-10-01,64.0
blue dress,2018-10-08,66.0
blue dress,2018-10-15,64.0
blue dress,2018-10-22,65.0
blue dress,2018-10-29,59.0
blue dress,2018-11-05,59.0
blue dress,2018-11-12,56.0
blue dress,2018-11-19,56.0
blue dress,2018-11-26,58.0
blue dress,2018-12-03,63.0
blue dress,2018-12-10,68.0
blue dress,2018-12-17,51.0
blue dress,2018-12-24,56.0
blue dress,2018-12-31,57.0
blue dress,2019-01-07,60.0
blue dress,2019-01-14,65.0
blue dress,2019-01-21,66.0
blue dress,2019-01-28,63.0
blue dress,2019-02-04,62.0
blue dress,2019-02-11,62.0
blue dress,2019-02-18,67.0
blue dress,2019-02-25,66.0
blue dress,2019-03-04,70.0
blue dress,2019-03-11,67.0
blue dress,2019-03-18,70.0
blue dress,2019-03-25,69.0
blue dress,2019-04-01,74.0
blue dress,2019-04-08,78.0
blue dress,2019-04-15,78.0
blue dress,2019-04-22,71.0
blue dress,2019-04-29,82.0
blue dress,2019-05-06,88.0
blue dress,2019-05-13,74.0
blue dress,2019-05-20,70.0
blue dress,2019-05-27,71.0
blue dress,2019-06-03,67.0
blue dress,2019-06-10,67.0
blue dress,2019-06-17,71.0
blue dress,2019-06-24,66.0
blue dress,2019-07-01,64.0
blue dress,2019-07-08,65.0
blue dress,2019-07-15,65.0
blue dress,2019-07-22,66.0
blue dress,2019-07-29,64.0
blue dress,2019-08-05,64.0
blue dress,2019-08-12,100.0
blue dress,2019-08-19,73.0
blue dress,2019-08-26,63.0
blue dress,2019-09-02,65.0
blue dress,2019-09-09,64.0
blue dress,2019-09-16,68.0
blue dress,2019-09-23,74.0
blue dress,2019-09-30,70.0
blue dress,2019-10-07,68.0
blue dress,2019-10-14,70.0
blue dress,2019-10-21,68.0
blue dress,2019-10-28,58.0
blue dress,2019-11-04,59.0
blue dress,2019-11-11,61.0
blue dress,2019-11-18,62.0
blue dress,2019-11-25,58.0
blue dress,2019-12-02,60.0
blue dress,2019-12-09,52.0
blue dress,2019-12-16,54.0
blue dress,2019-12-23,57.0
blue dress,2019-12-30,63.0
blue dress,2020-01-06,63.0
blue dress,2020-01-13,67.0
