origin_week,method,has_52w_lag,is_covid,n_eval_set,n_eval,hit_at_3_in_top20,hit_at_3_in_top10,precision_at_3,precision_at_10,ndcg_at_10,spearman_rho,wmape,demand_capture_at_3,demand_capture_at_10,demand_capture_at_20,tolerance_hit_at_3
2020-03-02,random_floor,true,true,2999,2999,0.03333333333333333,0.03333333333333333,0.016666666666666666,0.015000000000000003,0.3840912643348163,0.003984924628343718,0.5249565801230028,0.08776019806764875,0.09229579614606506,0.09760976771263803,0.016666666666666666
2020-03-09,random_floor,true,true,2991,2991,0.03333333333333333,0.03333333333333333,0.016666666666666666,0.01,0.3624686888497821,-0.003996668631986033,0.5214920514095971,0.08140287399006889,0.08787626436641967,0.11391347947958963,0.016666666666666666
2020-03-16,random_floor,true,true,2984,2984,0.0,0.0,0.0,0.0,0.38975523996642625,0.0023586928860778737,0.5066981004783557,0.07897549913639791,0.08835897677270076,0.10549199194478498,0.0
2020-03-23,random_floor,true,true,2969,2969,0.016666666666666666,0.0,0.0,0.0,0.4080463976405114,0.0034728256532758615,0.5056393260287545,0.09074105064878431,0.0870487587790272,0.10223518777545637,0.0
2020-03-30,random_floor,true,true,2962,2962,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.01,0.38683360590078797,0.00002413480991568205,0.5041985616238862,0.0702971019810257,0.08963641209495751,0.10006730586223564,0.016666666666666666
2020-04-06,random_floor,true,true,2956,2956,0.0,0.0,0.0,0.0,0.4148317962819953,0.003940193493548854,0.5019051319561547,0.09500167163546995,0.09775624026145696,0.1124560297890278,0.0
2020-04-13,random_floor,true,true,2941,2941,0.0,0.0,0.0,0.0,0.4105178201473472,-0.007092954755679802,0.48491688526761906,0.11945247188451469,0.10083280864090169,0.10869791559189641,0.0
2020-04-20,random_floor,true,true,2934,2934,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.005,0.4154683563490936,0.00032066335586486953,0.4803909659913492,0.10668922447129921,0.10776721762611667,0.1135431305162377,0.016666666666666666
2020-04-27,random_floor,true,true,2917,2917,0.016666666666666666,0.0,0.0,0.005,0.4468266978585416,-0.0012017947720800851,0.47287582313747273,0.12576089741812319,0.13306417500613738,0.14020809307060936,0.0
2020-05-04,random_floor,true,true,2906,2906,0.03333333333333333,0.03333333333333333,0.016666666666666666,0.01,0.40415816957180317,-0.0055125646015383774,0.4668870328913555,0.10452767535286234,0.11185801163032365,0.12652906086865556,0.016666666666666666
